root         720  0.0  0.3 1763980 30024 ?       Ssl  17:18   0:01 /usr/lib/snapd/snapd
robertp+   16948  0.1  1.8 4925528 145172 ?      SLsl 17:25   0:17 /var/lib/snapd/snap/code/65/usr/share/code/code --force-user-env --no-sandbox --unity-launch --no-sandbox
robertp+   16950  0.0  0.6 359284 50036 ?        S    17:25   0:00 /var/lib/snapd/snap/code/65/usr/share/code/code --type=zygote --no-zygote-sandbox --no-sandbox
robertp+   16951  0.0  0.6 359284 49760 ?        S    17:25   0:00 /var/lib/snapd/snap/code/65/usr/share/code/code --type=zygote --no-sandbox
robertp+   16985  0.7  2.3 640652 186340 ?       Rl   17:25   1:53 /var/lib/snapd/snap/code/65/usr/share/code/code --type=gpu-process --field-trial-handle=3387359752026511355,17272011585707274077,131072 --enable-features=WebComponentsV0Enabled --disable-features=CertVerifierService,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-color-correct-rendering --no-sandbox --enable-crash-reporter=d8d2923f-4f0e-4089-9f8d-2f543f18cedf,no_channel --global-crash-keys=d8d2923f-4f0e-4089-9f8d-2f543f18cedf,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.56.2 --gpu-preferences=UAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --use-gl=swiftshader-webgl --shared-files
robertp+   16989  0.0  1.0 442952 80940 ?        Sl   17:25   0:00 /var/lib/snapd/snap/code/65/usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=3387359752026511355,17272011585707274077,131072 --enable-features=WebComponentsV0Enabled --disable-features=CertVerifierService,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --service-sandbox-type=network --no-sandbox --enable-crash-reporter=d8d2923f-4f0e-4089-9f8d-2f543f18cedf,no_channel --global-crash-keys=d8d2923f-4f0e-4089-9f8d-2f543f18cedf,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.56.2 --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100
robertp+   17010  2.0  4.3 53203312 349904 ?     Sl   17:25   5:15 /var/lib/snapd/snap/code/65/usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=3387359752026511355,17272011585707274077,131072 --enable-features=WebComponentsV0Enabled --disable-features=CertVerifierService,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-gpu-compositing --lang=en-US --enable-crash-reporter=d8d2923f-4f0e-4089-9f8d-2f543f18cedf,no_channel --global-crash-keys=d8d2923f-4f0e-4089-9f8d-2f543f18cedf,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.56.2 --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/var/lib/snapd/snap/code/65/usr/share/code/resources/app --no-sandbox --no-zygote --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100 --vscode-window-config=vscode:c4b32325-1110-4a26-b630-f0e75fbd0519
robertp+   17241  0.2  2.5 4781512 203544 ?      Sl   17:25   0:43 /var/lib/snapd/snap/code/65/usr/share/code/code --inspect-port=0 /var/lib/snapd/snap/code/65/usr/share/code/resources/app/out/bootstrap-fork --type=extensionHost
robertp+   17270  0.0  1.6 38304864 129752 ?     Sl   17:25   0:05 /var/lib/snapd/snap/code/65/usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=3387359752026511355,17272011585707274077,131072 --enable-features=WebComponentsV0Enabled --disable-features=CertVerifierService,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-gpu-compositing --lang=en-US --enable-crash-reporter=d8d2923f-4f0e-4089-9f8d-2f543f18cedf,no_channel --global-crash-keys=d8d2923f-4f0e-4089-9f8d-2f543f18cedf,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.56.2 --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/var/lib/snapd/snap/code/65/usr/share/code/resources/app --no-sandbox --no-zygote --disable-blink-features=Auxclick --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100 --vscode-window-config=vscode:97a4652b-5a98-40fb-a524-2034b881bc6e
robertp+   17286  0.0  1.0 4635076 81532 ?       Sl   17:25   0:01 /var/lib/snapd/snap/code/65/usr/share/code/code /var/lib/snapd/snap/code/65/usr/share/code/resources/app/out/bootstrap-fork --type=watcherService
robertp+   17302  0.0  1.0 4654840 80508 ?       Sl   17:25   0:02 /var/lib/snapd/snap/code/65/usr/share/code/code /var/lib/snapd/snap/code/65/usr/share/code/resources/app/out/bootstrap-fork --type=ptyHost
